Word	[(Document,Count)
mounting	(2, 1)  (7, 1)  (8, 1) 
base	(2, 2)  (4, 2)  (7, 2)  (8, 1) 
allied	(2, 1)  (4, 1)  (7, 1)  (8, 1) 
unions	(2, 5)  (8, 1) 
become	(2, 8)  (3, 1)  (4, 3)  (5, 10)  (6, 2)  (7, 4)  (8, 3)  (9, 1)  (10, 4) 
landslide	(2, 1) 
1946	(2, 4)  (9, 2) 
general	(2, 5)  (4, 11)  (5, 1)  (6, 1)  (7, 4)  (8, 3)  (9, 2)  (10, 6) 
Laborioust	(2, 1) 
candidate	(2, 7)  (7, 1) 
Peronist	(2, 14) 
Party	(2, 5)  (4, 12)  (7, 5) 
renamed	(2, 1)  (5, 2)  (8, 1)  (9, 1) 
Justicialist	(2, 3) 
influential	(2, 3)  (4, 1)  (5, 3)  (6, 2)  (7, 5) 
party	(2, 8)  (4, 9)  (6, 2)  (7, 2)  (8, 1) 
history	(2, 9)  (4, 9)  (5, 12)  (6, 1)  (7, 9)  (8, 12)  (10, 9) 
rise	(2, 3)  (4, 4)  (6, 1)  (7, 2)  (8, 7)  (10, 2) 
nationalized	(2, 1) 
strategic	(2, 1)  (4, 1)  (6, 1)  (7, 1)  (8, 1) 
services	(2, 2)  (4, 4)  (5, 1)  (7, 1)  (9, 4) 
improved	(2, 2)  (4, 3)  (5, 1)  (6, 1)  (8, 1)  (9, 1) 
wages	(2, 1)  (4, 3)  (5, 2) 
conditions	(2, 4)  (4, 1)  (5, 1)  (6, 1)  (7, 2)  (8, 4)  (9, 1)  (10, 4) 
paid	(2, 2)  (5, 8) 
external	(2, 2) 
debt	(2, 5)  (4, 3)  (6, 1)  (7, 1)  (8, 1) 
claimed	(2, 3)  (4, 3)  (5, 4)  (7, 2)  (8, 1)  (10, 2) 
nearly	(2, 6)  (4, 9)  (5, 1)  (7, 2)  (8, 2) 
employment	(2, 1)  (4, 2)  (8, 1) 
enact	(2, 2) 
women	(2, 3)  (4, 1)  (5, 2)  (7, 6) 
1947	(2, 2)  (4, 1)  (8, 1)  (9, 1)  (10, 1) 
vulnerable	(2, 1)  (4, 1)  (7, 1) 
sectors	(2, 2)  (4, 2)  (7, 1) 
1950	(2, 3)  (4, 2)  (7, 1)  (9, 2) 
expenditures	(2, 2)  (4, 1)  (7, 1)  (10, 1) 
protectionist	(2, 2) 
engaged	(2, 1)  (4, 1)  (9, 1)  (10, 2) 
suppression	(2, 1)  (4, 3) 
Anyone	(2, 1) 
dissident	(2, 1) 
rival	(2, 1)  (3, 1)  (5, 1)  (7, 1) 
threats	(2, 1) 
physical	(2, 1)  (3, 1)  (4, 1)  (5, 4)  (8, 3)  (10, 1) 
violence	(2, 5)  (7, 3)  (10, 9) 
harassment	(2, 1) 
intelligentsia	(2, 1) 
class	(2, 2)  (3, 1)  (4, 8)  (5, 1)  (6, 1)  (7, 2)  (8, 2) 
university	(2, 4)  (4, 1)  (7, 1) 
students	(2, 3)  (4, 5)  (5, 1)  (7, 1) 
professors	(2, 2) 
seen	(2, 2)  (4, 3)  (5, 4)  (9, 1)  (10, 1) 
particularly	(2, 3)  (4, 5)  (6, 2)  (7, 5)  (8, 2) 
troublesome	(2, 1) 
fired	(2, 1)  (4, 1) 
faculty	(2, 1) 
institutions	(2, 1)  (4, 4)  (7, 8) 
tried	(2, 2)  (6, 1)  (8, 1) 
bring	(2, 1)  (5, 3)  (10, 1) 
thumb	(2, 1) 
regularly	(2, 2)  (4, 1)  (5, 4)  (7, 1) 
resorting	(2, 1) 
needed	(2, 2) 
For	(2, 1)  (4, 1)  (5, 3)  (6, 1)  (7, 2)  (8, 2)  (10, 10) 
instance	(2, 1)  (6, 1)  (8, 1)  (10, 5) 
meat	(2, 4)  (4, 4) 
packers	(2, 1) 
union	(2, 3)  (7, 3)  (8, 1) 
Cipriano	(2, 1) 
Reyes	(2, 3) 
organised	(2, 1)  (7, 1)  (8, 1)  (10, 1) 
protest	(2, 1) 
movement	(2, 2)  (4, 2)  (5, 4)  (7, 11)  (8, 3) 
officials	(2, 2)  (4, 2)  (9, 1) 
forcefully	(2, 1) 
puppets	(2, 1) 
charges	(2, 1)  (3, 1) 
though	(2, 5)  (4, 5)  (5, 3)  (7, 3)  (8, 4)  (10, 1) 
allegations	(2, 1)  (5, 2) 
never	(2, 4)  (3, 1)  (4, 1)  (5, 3)  (6, 3)  (7, 1)  (8, 2) 
substantiated	(2, 1) 
charged	(2, 1)  (5, 1)  (7, 1) 
tortured	(2, 1) 
prison	(2, 2)  (4, 1) 
downfall	(2, 1)  (8, 1) 
1955	(2, 7)  (7, 1) 
get	(2, 1)  (5, 2)  (6, 1)  (10, 1) 
reelected	(2, 2) 
1951	(2, 2) 
wife	(2, 6)  (6, 1) 
Eva	(2, 1) 
critical	(2, 1)  (5, 1)  (10, 1) 
died	(2, 3)  (4, 3)  (5, 4)  (6, 2)  (7, 5)  (8, 1)  (9, 1)  (10, 7) 
cancer	(2, 2)  (5, 3) 
tank	(2, 2)  (8, 1)  (9, 1) 
popular	(2, 11)  (4, 14)  (5, 2)  (6, 1)  (7, 8)  (8, 2)  (10, 1) 
Navy	(2, 2)  (4, 1)  (7, 1)  (9, 2)  (10, 1) 
advantage	(2, 1)  (4, 1)  (7, 1) 
withering	(2, 1) 
bombed	(2, 1) 
Plaza	(2, 2) 
Mayo	(2, 2) 
survived	(2, 1)  (5, 1) 
months	(2, 3)  (5, 4)  (7, 2) 
Liberating	(2, 1) 
deposed	(2, 1) 
exile	(2, 2)  (7, 1)  (9, 3) 
Revoluci	(2, 1) 
Libertadora	(2, 1) 
Eugenio	(2, 2) 
Aramburu	(2, 2) 
proscribed	(2, 1) 
Peronism	(2, 4) 
banned	(2, 4) 
any	(2, 3)  (4, 9)  (5, 5)  (6, 1)  (7, 6)  (8, 9)  (10, 6) 
elections	(2, 10)  (7, 4) 
Frondizi	(2, 1) 
1958	(2, 1)  (8, 1) 
encouraged	(2, 1)  (7, 1) 
investment	(2, 2)  (4, 3)  (7, 2) 
achieve	(2, 1)  (4, 1)  (5, 3)  (8, 2)  (10, 1) 
energetic	(2, 1) 
industrial	(2, 6)  (4, 4)  (7, 1)  (10, 2) 
self	(2, 4)  (3, 1)  (4, 2)  (7, 3)  (8, 2)  (10, 1) 
sufficiency	(2, 1) 
reversed	(2, 1)  (3, 1)  (4, 1)  (7, 1) 
chronic	(2, 1) 
deficit	(2, 1)  (5, 2)  (7, 1) 
lifted	(2, 1)  (5, 1) 
ban	(2, 1)  (3, 1)  (4, 2)  (5, 1) 
yet	(2, 2)  (3, 1)  (4, 1)  (5, 1)  (10, 1) 
stay	(2, 1)  (5, 1) 
terms	(2, 6)  (4, 4)  (5, 3)  (7, 4)  (8, 3)  (10, 2) 
Peronists	(2, 2) 
rejection	(2, 1) 
Amidst	(2, 1) 
turmoil	(2, 3)  (6, 1) 
Senate	(2, 7)  (7, 4) 
Mar	(2, 5)  (5, 1)  (6, 1)  (7, 2) 
Guido	(2, 1) 
reacted	(2, 1) 
swiftly	(2, 1)  (4, 1) 
applied	(2, 1)  (4, 1)  (6, 1)  (8, 1)  (10, 1) 
anti	(2, 1)  (4, 3)  (10, 1) 
vacuum	(2, 1)  (4, 1) 
legislation	(2, 1) 
ascending	(2, 1) 
repealed	(2, 1) 
prohibited	(2, 1)  (7, 1) 
Illia	(2, 1) 
1963	(2, 1) 
board	(2, 1) 
1966	(2, 1)  (4, 2) 
Carlos	(2, 6)  (5, 2)  (7, 5)  (9, 1) 
Ongan	(2, 2) 
sought	(2, 2)  (4, 3)  (5, 1)  (7, 1)  (9, 1)  (10, 3) 
indefinitely	(2, 1) 
Lanusse	(2, 3) 
1971	(2, 1)  (4, 3)  (10, 1) 
democracy	(2, 8)  (4, 3)  (7, 9)  (8, 1)  (10, 1) 
1973	(2, 8) 
running	(2, 3)  (5, 2)  (7, 1)  (8, 1) 
participate	(2, 1)  (5, 2)  (7, 1) 
surrogate	(2, 1) 
Hector	(2, 1) 
mpora	(2, 7) 
wing	(2, 12)  (3, 2)  (5, 4)  (7, 2) 
office	(2, 7)  (4, 1)  (7, 1) 
actions	(2, 2)  (4, 3)  (5, 1)  (10, 3) 
grant	(2, 1)  (9, 1) 
amnesty	(2, 1) 
assassinations	(2, 1) 
terrorist	(2, 4)  (7, 3) 
attacks	(2, 3)  (5, 1)  (7, 1) 
sentenced	(2, 3) 
judges	(2, 4) 
tenure	(2, 1)  (4, 1) 
beset	(2, 1)  (7, 1) 
Over	(2, 1)  (4, 1)  (5, 1)  (7, 1)  (8, 2) 
600	(2, 1)  (4, 2)  (5, 1)  (7, 2)  (10, 1) 
conflicts	(2, 1)  (4, 1)  (7, 3)  (8, 2)  (9, 3)  (10, 9) 
factory	(2, 1) 
occupations	(2, 1)  (4, 1) 
Even	(2, 1)  (3, 1)  (7, 1) 
far	(2, 8)  (4, 5)  (5, 1)  (7, 2)  (8, 4) 
organisations	(2, 1)  (7, 1)  (8, 1) 
suspended	(2, 1)  (5, 1) 
armed	(2, 4)  (7, 3)  (8, 1)  (9, 2)  (10, 3) 
struggle	(2, 1)  (8, 1)  (10, 1) 
participatory	(2, 1) 
interpreted	(2, 1) 
faction	(2, 2)  (7, 1) 
Amid	(2, 1) 
upheaval	(2, 1)  (4, 1)  (7, 2) 
Vice	(2, 2)  (9, 1) 
Vicente	(2, 1)  (5, 2)  (9, 1) 
Solano	(2, 1) 
resigned	(2, 2)  (6, 1) 
calling	(2, 1) 
nominee	(2, 1) 
marked	(2, 2)  (3, 1)  (4, 3)  (5, 4)  (7, 6)  (8, 5) 
escalating	(2, 1) 
conflict	(2, 1)  (7, 4)  (8, 2)  (9, 3)  (10, 19) 
factions	(2, 2) 
terror	(2, 1)  (8, 1)  (9, 1) 
guerrilla	(2, 6)  (7, 1)  (9, 2) 
Guevarist	(2, 1) 
ERP	(2, 4) 
leftist	(2, 2) 
Montoneros	(2, 6) 
backed	(2, 1)  (7, 1)  (9, 1) 
Triple	(2, 1) 
heart	(2, 4)  (5, 2)  (7, 1)  (8, 1) 
signs	(2, 1)  (10, 1) 
pneumonia	(2, 1) 
health	(2, 4)  (4, 8)  (7, 3)  (10, 1) 
deteriorated	(2, 1) 
suffered	(2, 2)  (3, 4)  (4, 4)  (5, 2)  (7, 3)  (8, 2)  (10, 2) 
Monday	(2, 1) 
78	(2, 1)  (4, 1)  (5, 1) 
old	(2, 4)  (3, 1)  (4, 4)  (5, 4)  (7, 1)  (8, 2)  (10, 1) 
succeeded	(2, 2)  (7, 2) 
her	(2, 2)  (5, 5)  (6, 1)  (7, 1)  (8, 1)  (10, 2) 
fascist	(2, 1)  (8, 2)  (10, 1) 
facto	(2, 2)  (4, 1)  (7, 3)  (8, 2) 
served	(2, 2)  (4, 2)  (5, 1)  (6, 1)  (7, 4)  (9, 2) 
she	(2, 1)  (5, 1) 
Her	(2, 1) 
collapse	(2, 1)  (7, 4)  (8, 2) 
systems	(2, 2)  (4, 5)  (7, 1)  (8, 1)  (9, 1)  (10, 3) 
leading	(2, 6)  (3, 1)  (4, 8)  (5, 4)  (7, 8)  (8, 6)  (10, 1) 
paved	(2, 3)  (6, 1) 
decade	(2, 3)  (4, 1)  (5, 2)  (9, 1) 
sponsored	(2, 3)  (4, 2)  (7, 1) 
Reorganization	(2, 2) 
Process	(2, 2) 
Guerra	(2, 2) 
Sucia	(2, 1) 
Operation	(2, 2)  (8, 1) 
Condor	(2, 1) 
other	(2, 22)  (4, 25)  (5, 11)  (6, 1)  (7, 24)  (8, 22)  (9, 7)  (10, 13) 
dictatorships	(2, 1) 
elsewhere	(2, 1)  (7, 1) 
dissidents	(2, 2) 
security	(2, 4)  (4, 2)  (5, 1)  (7, 3)  (9, 1)  (10, 2) 
forces	(2, 6)  (4, 4)  (7, 8)  (8, 4)  (9, 18)  (10, 2) 
employing	(2, 2)  (7, 1) 
urban	(2, 3)  (4, 11)  (7, 1)  (8, 3) 
rural	(2, 3)  (4, 5)  (7, 3) 
guerrillas	(2, 4)  (9, 2) 
anyone	(2, 1) 
believed	(2, 1)  (5, 1)  (6, 2)  (7, 1)  (8, 1) 
socialism	(2, 1)  (4, 2) 
somehow	(2, 2) 
contrary	(2, 1)  (7, 1)  (10, 1) 
neoliberal	(2, 3) 
Victims	(2, 1) 
alone	(2, 2)  (4, 4)  (7, 3)  (8, 1) 
estimated	(2, 3)  (4, 14)  (7, 3)  (8, 2)  (9, 1)  (10, 6) 
militants	(2, 1) 
unionists	(2, 2) 
journalists	(2, 1)  (5, 2) 
Marxists	(2, 1) 
alleged	(2, 1)  (4, 1)  (5, 1)  (7, 1) 
sympathizers	(2, 1) 
Most	(2, 2)  (4, 1)  (5, 1)  (6, 1)  (7, 3)  (8, 4)  (10, 5) 
victims	(2, 2)  (4, 1)  (5, 1)  (10, 2) 
casualties	(2, 1)  (8, 1)  (10, 14) 
opposing	(2, 1)  (5, 1)  (10, 2) 
numbered	(2, 1) 
540	(2, 1) 
police	(2, 4)  (3, 1)  (4, 1)  (7, 4) 
230	(2, 1)  (4, 1)  (5, 1) 
civilians	(2, 1)  (4, 1)  (8, 2)  (10, 5) 
received	(2, 5)  (3, 1)  (4, 6)  (5, 16)  (7, 1)  (8, 1) 
aid	(2, 1)  (8, 2) 
Johnson	(2, 1)  (8, 1) 
Nixon	(2, 1) 
Ford	(2, 1) 
Carter	(2, 1) 
Reagan	(2, 1) 
administrations	(2, 1)  (7, 1) 
exact	(2, 1) 
chronology	(2, 1) 
repression	(2, 1)  (4, 2)  (7, 2) 
still	(2, 8)  (4, 7)  (7, 3)  (8, 5)  (10, 4) 
debated	(2, 1)  (4, 1) 
may	(2, 2)  (4, 4)  (7, 7)  (8, 4)  (9, 1)  (10, 24) 
1969	(2, 3) 
targeted	(2, 1) 
assassination	(2, 2)  (6, 1) 
Marxist	(2, 1)  (4, 2)  (10, 3) 
paramilitaries	(2, 1) 
Individual	(2, 1)  (10, 1) 
cases	(2, 1)  (7, 2)  (8, 4)  (10, 3) 
Bombing	(2, 1) 
Trelew	(2, 1) 
massacre	(2, 1) 
1972	(2, 1) 
Anticommunist	(2, 2) 
Alliance	(2, 3) 
commencing	(2, 1) 
annihilation	(2, 1) 
decrees	(2, 1) 
Operativo	(2, 1) 
Independencia	(2, 1) 
1975	(2, 1)  (7, 3)  (8, 1) 
possible	(2, 1)  (4, 2)  (5, 2)  (7, 4)  (8, 3)  (10, 3) 
events	(2, 1)  (5, 1)  (7, 3)  (8, 1)  (10, 3) 
signaling	(2, 1) 
beginning	(2, 3)  (4, 1)  (7, 4)  (8, 7) 
shut	(2, 2)  (7, 1)  (10, 1) 
parties	(2, 4)  (4, 1)  (7, 3)  (10, 2) 
dismantled	(2, 1)  (4, 1) 
student	(2, 1)  (4, 2) 
worker	(2, 1)  (7, 1) 
discontent	(2, 2) 
protests	(2, 1)  (4, 4)  (7, 1) 
Cordobazo	(2, 1) 
Rosariazo	(2, 1) 
organization	(2, 2)  (9, 2)  (10, 3) 
kidnapped	(2, 1) 
executed	(2, 1)  (4, 1)  (6, 1)  (8, 1) 
seeking	(2, 1)  (5, 1)  (7, 1) 
ease	(2, 1) 
growing	(2, 6)  (4, 4)  (5, 1)  (7, 2)  (8, 2) 
ctor	(2, 3)  (6, 1) 
issued	(2, 2)  (5, 3)  (7, 1)  (9, 3) 
pardons	(2, 1) 
condemned	(2, 1)  (8, 1) 
clash	(2, 1) 
internal	(2, 5)  (4, 1)  (7, 4)  (8, 1)  (10, 2) 
leaders	(2, 2)  (4, 3)  (7, 4)  (10, 8) 
Ezeiza	(2, 2) 
Massacre	(2, 1)  (7, 2) 
Overwhelmed	(2, 1) 
expelled	(2, 1)  (5, 1)  (7, 6) 
clandestine	(2, 1)  (10, 1) 
pez	(2, 2) 
Rega	(2, 1) 
organized	(2, 3)  (8, 1)  (9, 3)  (10, 2) 
AAA	(2, 1) 
People	(2, 1)  (4, 35)  (5, 1)  (7, 3)  (9, 2) 
Revolutionary	(2, 1)  (8, 1)  (9, 1) 
Army	(2, 3)  (4, 5)  (7, 1)  (8, 1)  (9, 86) 
empowering	(2, 1) 
annihilate	(2, 1) 
subversion	(2, 1) 
stopping	(2, 1)  (10, 1) 
attempt	(2, 1)  (5, 3)  (7, 1)  (8, 1)  (10, 3) 
insurgence	(2, 1) 
province	(2, 11)  (4, 2)  (7, 4) 
Jorge	(2, 5)  (5, 2) 
Rafael	(2, 1)  (7, 1) 
Videla	(2, 1) 
They	(2, 1)  (3, 2)  (4, 2)  (7, 4)  (8, 1)  (9, 1) 
initiated	(2, 1)  (4, 2)  (7, 2) 
shortened	(2, 1) 
Proceso	(2, 3) 
removed	(2, 1)  (4, 1) 
Court	(2, 4)  (5, 1)  (6, 1)  (7, 1) 
resorted	(2, 1) 
disappearance	(2, 1) 
suspected	(2, 2) 
individuals	(2, 3)  (10, 1) 
lost	(2, 4)  (3, 2)  (4, 1)  (5, 4)  (7, 1)  (8, 1) 
1977	(2, 1)  (7, 3) 
completely	(2, 1)  (4, 3)  (5, 1)  (8, 3) 
subdued	(2, 1)  (5, 1) 
severely	(2, 1)  (4, 2)  (8, 1) 
weakened	(2, 1)  (4, 3)  (7, 1)  (8, 6) 
launched	(2, 3)  (4, 6)  (5, 3)  (8, 1) 
counterattack	(2, 1) 
1979	(2, 1)  (4, 3)  (8, 1) 
effectively	(2, 2)  (3, 2)  (5, 2)  (7, 1)  (9, 1) 
securing	(2, 1) 
1982	(2, 1)  (4, 1)  (7, 2) 
Leopoldo	(2, 4) 
Galtieri	(2, 2) 
authorised	(2, 1) 
invasion	(2, 1)  (4, 2)  (7, 1)  (8, 2)  (10, 2) 
occupation	(2, 1)  (4, 1)  (6, 1)  (7, 4)  (9, 2) 
provoked	(2, 1)  (4, 1)  (5, 1) 
response	(2, 1)  (4, 2)  (5, 1)  (10, 1) 
Falklands	(2, 3) 
surrendered	(2, 1)  (7, 1)  (9, 1) 
troops	(2, 3)  (4, 1)  (6, 1)  (7, 2)  (8, 2)  (9, 3) 
Street	(2, 1)  (8, 1) 
riots	(2, 3) 
leadership	(2, 1)  (4, 6)  (7, 2)  (8, 2)  (9, 1) 
responsible	(2, 3)  (4, 1)  (8, 2)  (9, 10) 
humiliation	(2, 1) 
withdrew	(2, 1)  (5, 1)  (8, 1) 
Reynaldo	(2, 1) 
Bignone	(2, 1) 
organize	(2, 2)  (4, 1) 
transition	(2, 3)  (4, 1)  (7, 2)  (8, 2)  (10, 1) 
democratic	(2, 2)  (4, 5)  (7, 3)  (8, 2) 
governance	(2, 1)  (4, 1)  (7, 1) 
Return	(2, 1)  (5, 1)  (7, 1) 
campaigning	(2, 1) 
prosecution	(2, 2)  (4, 1)  (5, 1) 
violations	(2, 1)  (4, 1) 
Trial	(2, 1) 
Juntas	(2, 1) 
martial	(2, 1)  (4, 1)  (6, 1) 
courts	(2, 3) 
Full	(2, 2) 
Stop	(2, 2) 
Due	(2, 2)  (3, 2)  (7, 2) 
Obedience	(2, 2) 
laws	(2, 4)  (4, 1)  (7, 5)  (8, 1)  (10, 1) 
halted	(2, 1)  (8, 1) 
prosecutions	(2, 1) 
chain	(2, 1)  (8, 1) 
command	(2, 1)  (7, 1)  (9, 6) 
worsening	(2, 2) 
hyperinflation	(2, 1) 
reduced	(2, 2)  (4, 4)  (5, 2)  (7, 1)  (8, 2)  (10, 1) 
Menem	(2, 6) 
1989	(2, 1)  (4, 2)  (8, 3) 
Soon	(2, 1)  (6, 1)  (8, 1) 
embraced	(2, 1) 
fixed	(2, 2) 
exchange	(2, 2)  (4, 3)  (6, 1)  (7, 1) 
business	(2, 1)  (4, 1)  (6, 6) 
deregulation	(2, 1) 
privatizations	(2, 1) 
dismantling	(2, 1) 
barriers	(2, 1) 
normalized	(2, 1) 
pardoned	(2, 1) 
officers	(2, 3)  (7, 1)  (9, 4) 
1994	(2, 2)  (4, 1)  (10, 2) 
Constitutional	(2, 1)  (4, 1)  (7, 1) 
Amendment	(2, 1) 
1995	(2, 1)  (5, 1)  (9, 1) 
unemployment	(2, 1)  (4, 1)  (7, 5)  (8, 1) 
recession	(2, 1)  (4, 1)  (7, 1)  (8, 1) 
Fernando	(2, 2)  (6, 1) 
De	(2, 1)  (9, 1) 
effect	(2, 1)  (4, 2)  (5, 1)  (7, 2)  (8, 1)  (9, 1)  (10, 2) 
Massive	(2, 1) 
flight	(2, 1)  (7, 1) 
responded	(2, 1) 
freezing	(2, 1) 
bank	(2, 1)  (8, 1) 
accounts	(2, 1)  (4, 1)  (5, 1)  (7, 1) 
generating	(2, 1)  (7, 2) 
2001	(2, 3)  (4, 2)  (5, 2)  (7, 2) 
Duhalde	(2, 3) 
acting	(2, 2) 
revoked	(2, 1) 
causing	(2, 2)  (4, 1)  (7, 1)  (8, 1)  (10, 1) 
Argentines	(2, 15) 
lose	(2, 1)  (5, 1) 
portion	(2, 1)  (4, 3)  (7, 1) 
savings	(2, 1) 
2002	(2, 5)  (5, 2)  (7, 4)  (10, 1) 
recede	(2, 1) 
piqueteros	(2, 1) 
caused	(2, 2)  (4, 6)  (5, 2)  (7, 4)  (8, 7)  (10, 4) 
prompting	(2, 1)  (8, 1) 
N	(2, 2)  (3, 1)  (4, 2)  (7, 1) 
stor	(2, 1) 
Kirchner	(2, 6) 
2003	(2, 1)  (4, 3)  (5, 10)  (7, 1)  (10, 1) 
sworn	(2, 1)  (7, 1) 
Boosting	(2, 1) 
neo	(2, 1) 
Keynesian	(2, 1) 
laid	(2, 1)  (7, 3)  (8, 2) 
attaining	(2, 1)  (9, 1) 
fiscal	(2, 1)  (7, 2)  (10, 1) 
surpluses	(2, 1)  (4, 1) 
rapid	(2, 1)  (4, 8)  (7, 1)  (8, 2)  (9, 2) 
growth	(2, 4)  (4, 20)  (6, 1)  (7, 8)  (8, 10)  (10, 4) 
restructured	(2, 1)  (4, 1) 
defaulted	(2, 2) 
unprecedented	(2, 1)  (7, 1)  (8, 2) 
discount	(2, 1) 
bonds	(2, 1)  (4, 1) 
debts	(2, 1)  (8, 1) 
Monetary	(2, 1)  (8, 1) 
Fund	(2, 1)  (4, 1)  (8, 1) 
purged	(2, 1)  (4, 1) 
dubious	(2, 1) 
nullified	(2, 1) 
voided	(2, 1)  (6, 1) 
unconstitutional	(2, 2) 
crimes	(2, 1)  (7, 1) 
reelection	(2, 1) 
promoting	(2, 1)  (4, 1)  (8, 1) 
candidacy	(2, 1) 
senator	(2, 1) 
Cristina	(2, 3) 
Fern	(2, 6)  (3, 1)  (6, 1)  (7, 2) 
positive	(2, 1)  (5, 2)  (8, 1) 
foreign	(2, 3)  (4, 20)  (6, 1)  (7, 12) 
relations	(2, 3)  (4, 10)  (7, 4)  (10, 8) 
questionable	(2, 1) 
Venezuela	(2, 2)  (3, 1) 
Iran	(2, 1)  (4, 1)  (5, 3)  (10, 1) 
Cuba	(2, 1)  (7, 2) 
increasingly	(2, 2)  (4, 2)  (5, 3)  (7, 2)  (10, 1) 
strained	(2, 1) 
incomes	(2, 1)  (4, 2) 
risen	(2, 1)  (4, 1)  (7, 2) 
gains	(2, 1)  (7, 1) 
renewable	(2, 2)  (4, 5)  (7, 4) 
subsidies	(2, 1) 
overall	(2, 2)  (4, 2)  (5, 7)  (7, 2)  (8, 1)  (9, 7)  (10, 2) 
sluggish	(2, 1) 
center	(2, 3)  (4, 3) 
coalition	(2, 3)  (4, 1)  (8, 1) 
Macri	(2, 5) 
ballotage	(2, 1) 
Front	(2, 2)  (7, 1)  (8, 1) 
Victory	(2, 1) 
Daniel	(2, 3)  (3, 1)  (5, 1)  (8, 1) 
Scioli	(2, 1) 
elect	(2, 1) 
peronist	(2, 1) 
inherited	(2, 1)  (8, 1) 
inflation	(2, 4)  (4, 1)  (7, 1) 
poor	(2, 1)  (4, 3)  (8, 3) 
shape	(2, 1)  (8, 3) 
Government	(2, 2)  (4, 3)  (7, 7) 
introduced	(2, 1)  (4, 2)  (7, 1)  (8, 2) 
austerity	(2, 1)  (7, 1) 
measures	(2, 1)  (7, 1)  (8, 1)  (10, 1) 
intended	(2, 1)  (7, 1) 
tackle	(2, 1)  (3, 1)  (5, 1) 
overblown	(2, 1) 
deficits	(2, 2) 
recovery	(2, 1)  (4, 2)  (7, 2)  (8, 1) 
elusive	(2, 1) 
shrinking	(2, 1) 
totaling	(2, 2)  (4, 1) 
240	(2, 1)  (4, 2)  (10, 2) 
billions	(2, 1)  (4, 1) 
US	(2, 4)  (3, 1)  (4, 16)  (5, 2)  (7, 2)  (8, 3)  (9, 2) 
dollars	(2, 1)  (4, 2)  (10, 1) 
sovereign	(2, 1)  (6, 1)  (8, 4) 
mass	(2, 2)  (4, 5)  (7, 3)  (8, 4)  (10, 3) 
poverty	(2, 2)  (4, 10)  (5, 1) 
ran	(2, 1)  (5, 1) 
percentage	(2, 2)  (4, 1)  (7, 2)  (8, 1) 
Alberto	(2, 7)  (6, 1) 
just	(2, 2)  (3, 2)  (5, 5)  (6, 1)  (7, 3)  (8, 2)  (9, 2)  (10, 8) 
COVID	(2, 1)  (3, 1)  (4, 4)  (5, 2)  (7, 1) 
pandemic	(2, 1)  (3, 1)  (4, 5)  (10, 1) 
hit	(2, 1)  (5, 3) 
accusations	(2, 1)  (5, 1)  (7, 1) 
corruption	(2, 1)  (4, 2)  (7, 2) 
bribery	(2, 1) 
misuse	(2, 1) 
funds	(2, 2)  (5, 1) 
Nestor	(2, 1) 
ruling	(2, 1)  (4, 1)  (7, 2) 
Frente	(2, 1) 
Todos	(2, 1) 
Everyone	(2, 1) 
majority	(2, 5)  (7, 5)  (8, 4)  (10, 1) 
40	(2, 4)  (4, 6)  (5, 4)  (7, 2)  (8, 7)  (10, 6) 
midterm	(2, 1) 
legislative	(2, 3)  (6, 1)  (7, 3) 
Juntos	(2, 1) 
por	(2, 1)  (7, 1) 
el	(2, 1) 
Cambio	(2, 1) 
Together	(2, 1)  (5, 1) 
Change	(2, 1) 
tough	(2, 1) 
Fernandez	(2, 2) 
Losing	(2, 1) 
control	(2, 3)  (4, 11)  (6, 2)  (7, 5)  (8, 4)  (9, 1) 
difficult	(2, 1)  (4, 3) 
make	(2, 4)  (3, 3)  (4, 3)  (5, 5)  (7, 3)  (8, 3)  (10, 1) 
appointments	(2, 1)  (9, 1) 
judiciary	(2, 1)  (7, 1) 
negotiate	(2, 1) 
opposition	(2, 1)  (4, 1)  (5, 2)  (6, 2)  (7, 4) 
initiative	(2, 1)  (3, 1)  (4, 2) 
sends	(2, 1) 
legislature	(2, 1) 
Geography	(2, 1)  (4, 1)  (7, 1)  (8, 2) 
mainland	(2, 1)  (4, 8)  (7, 5)  (8, 5) 
surface	(2, 2)  (4, 1)  (8, 1) 
518	(2, 1) 
located	(2, 3)  (7, 9)  (8, 5)  (9, 1) 
sharing	(2, 2)  (5, 1) 
borders	(2, 1)  (4, 4)  (7, 1)  (8, 5) 
length	(2, 2)  (4, 2) 
376	(2, 1) 
826	(2, 2) 
coastal	(2, 2)  (4, 2)  (7, 3)  (8, 1) 
117	(2, 2)  (4, 1) 
Aconcagua	(2, 1) 
959	(2, 1) 
831	(2, 1) 
ft	(2, 3)  (5, 3)  (7, 2) 
above	(2, 2)  (4, 2)  (7, 3)  (8, 1)  (9, 1)  (10, 1) 
sea	(2, 3)  (4, 2)  (7, 2)  (8, 6)  (10, 1) 
Western	(2, 3)  (4, 10)  (7, 12)  (8, 38)  (9, 1)  (10, 5) 
Hemispheres	(2, 2) 
lowest	(2, 3)  (4, 4)  (7, 1) 
Laguna	(2, 1) 
Carb	(2, 1) 
Juli	(2, 1) 
Cruz	(2, 7) 
105	(2, 1)  (4, 1)  (7, 1) 
344	(2, 1) 
below	(2, 6)  (4, 6)  (7, 6)  (8, 1) 
